Metabolite,Conc (uM),D*10^10 (m^2/s),MW(Da),Source conc,Source Diff. coeff.,Original Met name,Category,Comment,male,female,"These values were created with regexp replace in visual studio, using the pattern find: ([0-9\.]*)±[0-9\.]* Replace with: $1",
glucose,4971.3,,180.1559,HMDB,,,,,,,,
(S)-2-aminobutanoate,22,,103.1198,Harada et al,,2-Aminobutyrate,,,22.89±7.28,21.11±6.01,22.89,21.11
2-hydroxybutyrate,34.965,,104.105,Harada et al,,2-Hydroxybutyrate,,,37.1±16.44,32.83±13.15,37.1,32.83
2-oxobutyrate,9.53,,102.0886,Harada et al,,2-Oxobutyrate,,,8.53±8.79,10.53±8.62,8.53,10.53
3-methyl-2-oxobutyrate,13.62,,116.1152,Harada et al,,2-Oxoisopentanoate,,,14.41±3.12,12.83±2.61,14.41,12.83
D-3-amino-isobutanoate,2.18,,103.1198,Harada et al,,3-Aminoisobutyrate,,,2.27±1.6,2.09±1.28,2.27,2.09
(R)-3-hydroxybutanoate,102.53,,104.1045,Harada et al,,3-Hydroxybutyrate,,,92.45±114.14,112.61±102.73,92.45,112.61
3-Methylhistidine,7.17,,169.1811,Harada et al,,3-Methylhistidine,,,7.9±5.45,6.44±4.95,7.9,6.44
5-oxoproline,26.635,,129.114,Harada et al,,5-Oxoproline,,,26.8±7.57,26.47±8.29,26.8,26.47
alanine,356.46,9.8,89.0932,Harada et al,"Zhang et al, mouse seminal fluid",Alanine,,,387.08±88.01,325.84±75.76,387.08,325.84
L-2-aminoadipate,1.025,,161.1558,Harada et al,,Alpha-Aminoadipate,,,1.16±1.42,0.89±0.87,1.16,0.89
arginine,86.615,,174.201,Harada et al,,Arginine,,,90.96±16.66,82.27±15.84,90.96,82.27
asparagine,47.84,,132.1179,Harada et al,,Asparagine,,,50.02±7.98,45.66±7.47,50.02,45.66
aspartate,4.22,11.2666666666667,133.1027,Harada et al,"Zhang et al, mouse seminal fluid",Aspartate,,,4.34±2.91,4.1±10.13,4.34,4.1
azelaic acid,1.135,,188.2209,Harada et al,,Azelate,,,1.14±0.77,1.13±0.61,1.14,1.13
beta-alanine,2.655,,89.0932,Harada et al,,Beta-Alanine,,,2.99±0.95,2.32±0.86,2.99,2.32
betaine,56.395,,118.1543,Harada et al,,Betaine,,,61.47±17.36,51.32±14.22,61.47,51.32
L-carnitine,64.075,,162.2068,Harada et al,,Carnitine,,,67.54±12.81,60.61±11.08,67.54,60.61
choline,15.415,11.7,104.1708,Harada et al,"Zhang et al, mouse seminal fluid",Choline,,,16.91±3.85,13.92±3.07,16.91,13.92
cis-aconitate,5.16,,174.1082,Harada et al,,Cis-Aconitate,,,5.22±1.48,5.1±1.42,5.22,5.1
citrate,98.025,7.025,192.1235,Harada et al,"Zhang et al, mouse seminal fluid",Citrate,,,93.34±31.93,102.71±34.17,93.34,102.71
citrulline,43.015,,175.1857,Harada et al,,Citrulline,,,44.23±11.61,41.8±10.66,44.23,41.8
creatine,37.935,,131.1332,Harada et al,,Creatine,,,32.08±14.99,43.79±15.17,32.08,43.79
creatinine,62.505,,113.1179,Harada et al,,Creatinine,,,71.24±17.35,53.77±12.58,71.24,53.77
cysteine,58.445,,121.15,Harada et al,,Cystine,,,59.21±9.53,57.68±10.04,59.21,57.68
ethanolamine-phosphate,1.37,,141.063,Harada et al,,Ethanolamine Phosphate,,,1.25±1.06,1.49±1.1,1.25,1.49
fumarate,1.57,,116.0722,Harada et al,,Fumarate,,,1.61±0.67,1.53±0.63,1.61,1.53
gamma-butyrobetaine,1.41,,145.1995,Harada et al,,Gamma-Butyrobetaine,,,1.57±0.39,1.25±0.3,1.57,1.25
glucuronate,3.36,,194.1394,Harada et al,,Glucuronate,,,3.59±1.71,3.13±1.62,3.59,3.13
glutamate,35.755,9,147.1293,Harada et al,"Zhang et al, mouse seminal fluid",Glutamate,,,41.29±18.22,30.22±17.71,41.29,30.22
glutamine,629.17,10.2,146.1445,Harada et al,"Zhang et al, mouse seminal fluid",Glutamine,,,637.11±85.25,621.23±76.7,637.11,621.23
glycine,233.425,12.9,75.0666,Harada et al,"Zhang et al, mouse seminal fluid",Glycine,,,215.85±48.92,251±81.29,215.85,251
guanidinoacetate,2.815,,117.1066,Harada et al,,Guanidinoacetate,,,3.22±0.76,2.41±0.62,3.22,2.41
hippurate,4.405,,179.1727,Harada et al,,Hippurate,,,4.02±5.16,4.79±5.42,4.02,4.79
histidine,76.175,8.25,155.1546,Harada et al,"Zhang et al, mouse seminal fluid",Histidine,,,79.58±14.01,72.77±14.39,79.58,72.77
homovanillate,2.35,,182.1733,Harada et al,,Homovanillate,,,2.74±1.64,1.96±1.38,2.74,1.96
trans-4-hydroxy-L-proline,9.32,,131.1299,Harada et al,,Hydroxyproline,,,10.34±3.81,8.3±3,10.34,8.3
indoleacetate,4.87,,175.184,Harada et al,,Indole-3-acetate,,,5.06±3.74,4.68±3.53,5.06,4.68
isocitrate,6.165,,192.1235,Harada et al,,Isocitrate,,,6.37±2.59,5.96±5.41,6.37,5.96
isoleucine,59.38,8.4,131.1729,Harada et al,"Zhang et al, mouse seminal fluid",Isoleucine,,,67.41±14.7,51.35±10.97,67.41,51.35
kynurenine,1.605,,208.2139,Harada et al,,Kynurenine,,,1.71±0.57,1.5±0.56,1.71,1.5
L-lactate,690.45,10.5,90.0779,Harada et al,"Zhang et al, mouse seminal fluid",Lactate,,,750.03±240.67,630.87±204.97,750.03,630.87
leucine,117.37,8.95,131.1729,Harada et al,"Zhang et al, mouse seminal fluid",Leucine,,,131.73±23.15,103.01±18.63,131.73,103.01
lysine,186.47,,146.19,Harada et al,,Lysine,,,196.82±33.48,176.12±31.07,196.82,176.12
malate,6.085,,134.0874,Harada et al,,Malate,,,6.39±2.12,5.78±2.35,6.39,5.78
malonate,2.49,,104.0615,Harada et al,,Malonate,,,2.43±1.67,2.55±1.69,2.43,2.55
methionine,21.105,,149.211,Harada et al,,Methionine,,,23.06±6.94,19.15±5.6,23.06,19.15
dimethylglycine,5.28,,103.1198,Harada et al,,"N,N-Dimethylglycine",,,5.84±10.19,4.72±6.45,5.84,4.72
O-acetylcarnitine,1.435,,204.2435,Harada et al,,O-Acetylcarnitine,,,1.6±1.46,1.27±1.25,1.6,1.27
ornithine,39.005,,132.161,Harada et al,,Ornithine,,,40.75±9.86,37.26±15.79,40.75,37.26
phenylalanine,55.725,8.7,165.1891,Harada et al,"Zhang et al, mouse seminal fluid",Phenylalanine,,,59.21±9.65,52.24±8.86,59.21,52.24
L-pipecolate,1.715,,129.157,Harada et al,,Pipecolate,,,2.11±3.12,1.32±1.2,2.11,1.32
proline,137.595,,115.1305,Harada et al,,Proline,,,155.23±47.99,119.96±37.02,155.23,119.96
